time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2021-11-13,81712.25,79305.22,80732.43,4005.33,321783621.14,80557.8,direct,
2021-11-14,82385.19,79571.62,80557.8,2559.86,207107184.8,81921.98,direct,
2021-11-15,83328.36,79112.53,81921.98,4395.54,357582307.75,79311.62,direct,
2021-11-16,79759.37,73184.5,79311.62,3185.17,242263208.69,75442.53,direct,
2021-11-17,76285.72,72946.87,75442.53,3558.31,266488099.41,75300.41,direct,
2021-11-18,76845.56,70995.24,75300.41,3337.16,248192631.2,71974.05,direct,
2021-11-19,73948.26,69901.04,71974.05,3677.06,265406284.6,73194.51,direct,
2021-11-20,75858.68,72419.96,73194.51,2508.62,186229284.1,75723.31,direct,
2021-11-21,76051.9,73721.95,75723.31,2448.95,183010834.95,73913.16,direct,
2021-11-22,75313.69,70096.71,73913.16,2907.63,210286745.17,70883.18,direct,
2021-11-23,73330.69,69837.86,70883.18,2896.65,208261797.78,72501.76,direct,
2021-11-24,73254.38,70440.18,72501.76,3768.73,270501611.33,72161.01,direct,
2021-11-25,75346.96,71974.53,72161.01,2526.34,186532687.21,74816.01,direct,
2021-11-26,75147.77,68210.88,74816.01,2774.94,197158960.86,68885.59,direct,
2021-11-27,70889.27,68455.86,68885.59,2555.74,178801946.54,70238.55,direct,
2021-11-28,73373.86,68129.17,70238.55,3177.8,222015024.69,72786.73,direct,
2021-11-29,75321.36,72132.39,72786.73,3050.01,224094000.37,73456.78,direct,
2021-11-30,75713.18,71396.36,73456.78,2793.0,204595963.81,72854.82,direct,
2021-12-01,75506.73,72056.57,72854.82,2793.44,205310402.07,73127.63,direct,
2021-12-02,73719.52,71336.06,73127.63,3049.95,221296663.6,72597.61,direct,
2021-12-03,73795.03,66284.18,72597.61,3917.27,280088829.31,69129.44,direct,
2021-12-04,69354.09,53883.71,69129.44,3873.55,241484564.88,63072.37,direct,
2021-12-05,64004.92,61249.81,63072.37,2984.4,188023727.55,63494.06,direct,
2021-12-06,65087.93,60302.17,63494.06,4388.48,274323233.12,64404.14,direct,
2021-12-07,65836.07,63152.92,64404.14,4741.44,307090399.54,63855.96,direct,
2021-12-08,64806.54,61325.9,63855.96,3412.27,216871541.19,63731.2,direct,
2021-12-09,64417.12,60060.82,63731.2,4557.58,284134527.37,60612.41,direct,
2021-12-10,63613.79,59587.05,60612.41,5543.4,339958326.51,59852.57,direct,
2021-12-11,63137.21,59359.14,59852.57,1830.87,112945889.89,62983.93,direct,
2021-12-12,64782.12,61800.27,62983.93,3787.58,238383261.19,63582.37,direct,
2021-12-13,63978.76,58492.84,63582.37,4642.88,285022545.54,59936.73,direct,
2021-12-14,62717.46,59209.99,59936.73,3874.17,234586662.64,62348.13,direct,
2021-12-15,63705.07,59957.3,62348.13,4037.22,250076864.0,62857.11,direct,
2021-12-16,63330.12,60572.73,62857.11,3133.99,195228965.33,60755.16,direct,
2021-12-17,61529.42,58313.91,60755.16,4096.66,247434826.55,59684.29,direct,
2021-12-18,61155.13,58552.88,59684.29,3366.64,202492959.37,60236.94,direct,
2021-12-19,62437.33,59720.02,60236.94,3699.28,224855904.51,60080.02,direct,
2021-12-20,61647.06,58802.16,60080.02,4236.81,254444738.66,60779.69,direct,
2021-12-21,63896.21,60216.05,60779.69,4291.43,268577423.21,63331.17,direct,
2021-12-22,64157.28,62213.97,63331.17,4229.39,266942844.4,62591.6,direct,
2021-12-23,65978.62,61510.78,62591.6,4485.27,282574632.92,64994.9,direct,
2021-12-24,66607.23,64456.64,64994.9,3139.0,205336697.44,65209.73,direct,
2021-12-25,65672.8,64105.78,65209.73,3350.74,218076699.07,64394.18,direct,
2021-12-26,65830.27,63145.56,64394.18,4547.51,292019954.61,65216.25,direct,
2021-12-27,66706.05,64511.13,65216.25,3692.25,241793855.45,64984.43,direct,
2021-12-28,64998.01,60521.27,64984.43,3700.56,231837663.98,61054.0,direct,
2021-12-29,61807.76,58819.86,61054.0,3963.36,241566304.93,59531.55,direct,
